"DATE","TIME PERIOD","Euro short-term rate - Calculation method (EST.B.EU000A2X2A25.CM)","Euro short-term rate - Number of active banks (EST.B.EU000A2X2A25.NB)","Euro short-term rate - Number of transactions (EST.B.EU000A2X2A25.NT)","Euro short-term rate - Rate at 25th percentile of volume (EST.B.EU000A2X2A25.R25)","Euro short-term rate - Rate at 75th percentile of volume (EST.B.EU000A2X2A25.R75)","Euro short-term rate - Publication type (EST.B.EU000A2X2A25.RP)","Euro short-term rate - Total volume (EST.B.EU000A2X2A25.TT)","Euro short-term rate - Share of volume of the 5 largest active banks (EST.B.EU000A2X2A25.VL)","Euro short-term rate - Volume-weighted trimmed mean rate (EST.B.EU000A2X2A25.WT)"
"2019-10-01","01 Oct 2019","0","32","432","-0.57","-0.53","0","35996","54","-0.549"
"2019-10-02","02 Oct 2019","0","28","397","-0.57","-0.54","0","33549","52","-0.551"
"2019-10-03","03 Oct 2019","0","28","373","-0.57","-0.54","0","29200","55","-0.555"
"2019-10-04","04 Oct 2019","0","30","429","-0.57","-0.54","0","33907","53","-0.553"
"2019-10-07","07 Oct 2019","0","30","416","-0.58","-0.54","0","33722","51","-0.554"
"2019-10-08","08 Oct 2019","0","29","425","-0.57","-0.54","0","31536","52","-0.552"
"2019-10-09","09 Oct 2019","0","28","422","-0.57","-0.54","0","31274","52","-0.552"
"2019-10-10","10 Oct 2019","0","30","415","-0.57","-0.54","0","30526","48","-0.552"
"2019-10-11","11 Oct 2019","0","29","436","-0.57","-0.53","0","32614","51","-0.550"
"2019-10-14","14 Oct 2019","0","31","424","-0.57","-0.53","0","31781","49","-0.549"
"2019-10-15","15 Oct 2019","0","29","442","-0.57","-0.54","0","32332","52","-0.551"
"2019-10-16","16 Oct 2019","0","30","451","-0.56","-0.54","0","32703","54","-0.548"
"2019-10-17","17 Oct 2019","0","30","440","-0.56","-0.54","0","32639","58","-0.548"
"2019-10-18","18 Oct 2019","0","29","421","-0.56","-0.53","0","31238","57","-0.547"
"2019-10-21","21 Oct 2019","0","28","440","-0.56","-0.53","0","33283","53","-0.549"
"2019-10-22","22 Oct 2019","0","30","427","-0.56","-0.53","0","31588","51","-0.548"
"2019-10-23","23 Oct 2019","0","29","434","-0.56","-0.53","0","33724","53","-0.547"
"2019-10-24","24 Oct 2019","0","29","429","-0.56","-0.53","0","33784","52","-0.548"
"2019-10-25","25 Oct 2019","0","30","427","-0.56","-0.53","0","34093","48","-0.548"
"2019-10-28","28 Oct 2019","0","29","416","-0.56","-0.53","0","32366","53","-0.548"
"2019-10-29","29 Oct 2019","0","32","430","-0.56","-0.51","0","32763","49","-0.545"
"2019-10-30","30 Oct 2019","0","29","422","-0.56","-0.53","0","28631","59","-0.545"
"2019-10-31","31 Oct 2019","0","25","354","-0.56","-0.51","0","25342","57","-0.543"
"2019-11-01","01 Nov 2019","0","26","374","-0.56","-0.53","0","28931","59","-0.549"
"2019-11-04","04 Nov 2019","0","28","463","-0.56","-0.50","0","36811","58","-0.536"
"2019-11-05","05 Nov 2019","0","30","463","-0.56","-0.52","0","32509","56","-0.541"
"2019-11-06","06 Nov 2019","0","29","445","-0.56","-0.52","0","31243","56","-0.539"
"2019-11-07","07 Nov 2019","0","31","463","-0.55","-0.52","0","31578","53","-0.537"
"2019-11-08","08 Nov 2019","0","28","421","-0.56","-0.52","0","29466","56","-0.540"
"2019-11-11","11 Nov 2019","0","29","429","-0.56","-0.50","0","30968","58","-0.541"
"2019-11-12","12 Nov 2019","0","30","444","-0.56","-0.50","0","30250","57","-0.537"
"2019-11-13","13 Nov 2019","0","20","286","-0.55","-0.50","0","23482","70","-0.531"
"2019-11-14","14 Nov 2019","0","31","425","-0.55","-0.51","0","30027","56","-0.536"
"2019-11-15","15 Nov 2019","0","31","439","-0.56","-0.51","0","31887","51","-0.541"
"2019-11-18","18 Nov 2019","0","31","449","-0.56","-0.52","0","33869","50","-0.541"
"2019-11-19","19 Nov 2019","0","32","453","-0.56","-0.52","0","33067","51","-0.542"
"2019-11-20","20 Nov 2019","0","30","463","-0.55","-0.47","0","39662","60","-0.511"
"2019-11-21","21 Nov 2019","0","31","450","-0.56","-0.51","0","32215","51","-0.542"
"2019-11-22","22 Nov 2019","0","30","435","-0.55","-0.50","0","31816","54","-0.536"
"2019-11-25","25 Nov 2019","0","26","338","-0.55","-0.50","0","30528","63","-0.533"
"2019-11-26","26 Nov 2019","0","29","445","-0.55","-0.50","0","32256","54","-0.533"
"2019-11-27","27 Nov 2019","0","29","445","-0.55","-0.50","0","31177","51","-0.533"
"2019-11-28","28 Nov 2019","0","28","437","-0.55","-0.50","0","31550","52","-0.531"
"2019-11-29","29 Nov 2019","0","28","406","-0.55","-0.50","0","31101","57","-0.532"
"2019-12-02","02 Dec 2019","0","30","438","-0.55","-0.52","0","32038","52","-0.541"
"2019-12-03","03 Dec 2019","0","30","455","-0.55","-0.50","0","31998","52","-0.539"
"2019-12-04","04 Dec 2019","0","30","452","-0.55","-0.52","0","32581","54","-0.540"
"2019-12-05","05 Dec 2019","0","31","459","-0.55","-0.52","0","32804","51","-0.540"
"2019-12-06","06 Dec 2019","0","28","420","-0.55","-0.52","0","28819","52","-0.541"
"2019-12-09","09 Dec 2019","0","28","445","-0.55","-0.52","0","29949","50","-0.541"
"2019-12-10","10 Dec 2019","0","31","417","-0.56","-0.52","0","30501","50","-0.544"
"2019-12-11","11 Dec 2019","0","30","436","-0.56","-0.52","0","32579","49","-0.544"
"2019-12-12","12 Dec 2019","0","30","429","-0.56","-0.53","0","31864","49","-0.544"
"2019-12-13","13 Dec 2019","0","30","432","-0.55","-0.52","0","31262","54","-0.543"
"2019-12-16","16 Dec 2019","0","30","448","-0.56","-0.52","0","33184","52","-0.543"
"2019-12-17","17 Dec 2019","0","32","452","-0.55","-0.50","0","35867","51","-0.536"
"2019-12-18","18 Dec 2019","0","29","431","-0.56","-0.52","0","29119","55","-0.540"
"2019-12-19","19 Dec 2019","0","32","442","-0.56","-0.52","0","28808","52","-0.540"
"2019-12-20","20 Dec 2019","0","33","437","-0.56","-0.52","0","28851","54","-0.540"
"2019-12-23","23 Dec 2019","0","29","346","-0.56","-0.53","0","21805","56","-0.545"
"2019-12-24","24 Dec 2019","0","26","297","-0.57","-0.53","0","21242","60","-0.549"
"2019-12-27","27 Dec 2019","0","32","419","-0.56","-0.53","0","27661","50","-0.542"
"2019-12-30","30 Dec 2019","0","26","380","-0.56","-0.52","0","27143","57","-0.541"
"2019-12-31","31 Dec 2019","0","20","192","-0.57","-0.50","0","17978","52","-0.531"
"2020-01-02","02 Jan 2020","0","26","398","-0.55","-0.53","0","26611","51","-0.539"
"2020-01-03","03 Jan 2020","0","27","414","-0.55","-0.53","0","27706","58","-0.537"
"2020-01-06","06 Jan 2020","0","28","417","-0.55","-0.53","0","32777","55","-0.539"
"2020-01-07","07 Jan 2020","0","31","453","-0.55","-0.53","0","34235","53","-0.540"
"2020-01-08","08 Jan 2020","0","31","437","-0.55","-0.52","0","35150","52","-0.536"
"2020-01-09","09 Jan 2020","0","30","441","-0.55","-0.53","0","30913","53","-0.539"
"2020-01-10","10 Jan 2020","0","31","455","-0.55","-0.52","0","31837","54","-0.538"
"2020-01-13","13 Jan 2020","0","29","465","-0.55","-0.53","0","31245","52","-0.537"
"2020-01-14","14 Jan 2020","0","32","445","-0.55","-0.53","0","28664","54","-0.538"
"2020-01-15","15 Jan 2020","0","29","411","-0.55","-0.53","0","26023","61","-0.538"
"2020-01-16","16 Jan 2020","0","30","441","-0.55","-0.53","0","29388","57","-0.536"
"2020-01-17","17 Jan 2020","0","28","409","-0.55","-0.53","0","31817","60","-0.537"
"2020-01-20","20 Jan 2020","0","29","439","-0.55","-0.53","0","33566","57","-0.538"
"2020-01-21","21 Jan 2020","0","30","430","-0.55","-0.53","0","31033","59","-0.535"
"2020-01-22","22 Jan 2020","0","29","422","-0.55","-0.52","0","30474","58","-0.536"
"2020-01-23","23 Jan 2020","0","29","425","-0.55","-0.53","0","31463","58","-0.537"
"2020-01-24","24 Jan 2020","0","30","428","-0.55","-0.53","0","33324","59","-0.537"
"2020-01-27","27 Jan 2020","0","29","434","-0.55","-0.53","0","33033","59","-0.538"
"2020-01-28","28 Jan 2020","0","33","432","-0.55","-0.50","0","37845","51","-0.536"
"2020-01-29","29 Jan 2020","0","30","437","-0.55","-0.53","0","32714","57","-0.540"
"2020-01-30","30 Jan 2020","0","27","428","-0.55","-0.52","0","32097","57","-0.539"
"2020-01-31","31 Jan 2020","0","29","436","-0.55","-0.53","0","32163","58","-0.539"
"2020-02-03","03 Feb 2020","0","28","456","-0.55","-0.53","0","38392","59","-0.537"
"2020-02-04","04 Feb 2020","0","30","464","-0.55","-0.53","0","36167","59","-0.536"
"2020-02-05","05 Feb 2020","0","30","436","-0.55","-0.53","0","35449","61","-0.536"
"2020-02-06","06 Feb 2020","0","28","427","-0.55","-0.52","0","33619","60","-0.535"
"2020-02-07","07 Feb 2020","0","29","423","-0.55","-0.53","0","32644","58","-0.537"
"2020-02-10","10 Feb 2020","0","29","440","-0.55","-0.53","0","33678","57","-0.537"
"2020-02-11","11 Feb 2020","0","29","423","-0.55","-0.53","0","32222","56","-0.541"
"2020-02-12","12 Feb 2020","0","29","423","-0.55","-0.53","0","31753","55","-0.541"
"2020-02-13","13 Feb 2020","0","28","426","-0.55","-0.53","0","31655","56","-0.540"
"2020-02-14","14 Feb 2020","0","29","436","-0.55","-0.53","0","34136","59","-0.538"
"2020-02-17","17 Feb 2020","0","29","432","-0.55","-0.53","0","35151","55","-0.541"
"2020-02-18","18 Feb 2020","0","28","413","-0.55","-0.53","0","31880","58","-0.536"
"2020-02-19","19 Feb 2020","0","29","411","-0.55","-0.52","0","32866","57","-0.538"
"2020-02-20","20 Feb 2020","0","28","440","-0.55","-0.52","0","32691","53","-0.538"
"2020-02-21","21 Feb 2020","0","28","442","-0.55","-0.52","0","35098","56","-0.539"
"2020-02-24","24 Feb 2020","0","27","433","-0.55","-0.52","0","34684","55","-0.540"
"2020-02-25","25 Feb 2020","0","29","433","-0.55","-0.52","0","33258","55","-0.539"
"2020-02-26","26 Feb 2020","0","27","414","-0.55","-0.52","0","34286","56","-0.539"
"2020-02-27","27 Feb 2020","0","27","425","-0.55","-0.52","0","31087","54","-0.538"
"2020-02-28","28 Feb 2020","0","30","434","-0.55","-0.52","0","33073","58","-0.540"
"2020-03-02","02 Mar 2020","0","26","330","-0.55","-0.53","0","30645","61","-0.542"
"2020-03-03","03 Mar 2020","0","28","356","-0.55","-0.53","0","35167","60","-0.542"
"2020-03-04","04 Mar 2020","0","30","492","-0.55","-0.53","0","40672","57","-0.541"
"2020-03-05","05 Mar 2020","0","29","484","-0.55","-0.52","0","36928","60","-0.540"
"2020-03-06","06 Mar 2020","0","29","494","-0.55","-0.52","0","38242","59","-0.541"
"2020-03-09","09 Mar 2020","0","29","500","-0.55","-0.52","0","40232","57","-0.539"
"2020-03-10","10 Mar 2020","0","29","499","-0.55","-0.53","0","45152","57","-0.541"
"2020-03-11","11 Mar 2020","0","31","524","-0.55","-0.53","0","48537","58","-0.543"
"2020-03-12","12 Mar 2020","0","28","515","-0.55","-0.53","0","48041","59","-0.540"
"2020-03-13","13 Mar 2020","0","30","477","-0.55","-0.53","0","44382","59","-0.541"
"2020-03-16","16 Mar 2020","0","30","495","-0.55","-0.52","0","39369","60","-0.536"
"2020-03-17","17 Mar 2020","0","31","496","-0.55","-0.50","0","44130","55","-0.531"
"2020-03-18","18 Mar 2020","0","30","525","-0.55","-0.50","0","41457","52","-0.529"
"2020-03-19","19 Mar 2020","0","30","515","-0.55","-0.49","0","40550","51","-0.526"
"2020-03-20","20 Mar 2020","0","31","524","-0.55","-0.49","0","38819","53","-0.524"
"2020-03-23","23 Mar 2020","0","31","538","-0.55","-0.49","0","42983","55","-0.525"
"2020-03-24","24 Mar 2020","0","29","563","-0.55","-0.49","0","44586","53","-0.527"
"2020-03-25","25 Mar 2020","0","29","544","-0.55","-0.49","0","45443","53","-0.527"
"2020-03-26","26 Mar 2020","0","32","556","-0.55","-0.50","0","44398","54","-0.529"
"2020-03-27","27 Mar 2020","0","32","448","-0.55","-0.50","0","41609","57","-0.530"
"2020-03-30","30 Mar 2020","0","32","562","-0.55","-0.50","0","51283","51","-0.528"
"2020-03-31","31 Mar 2020","0","31","544","-0.56","-0.49","0","49020","59","-0.522"
"2020-04-01","01 Apr 2020","0","33","594","-0.55","-0.50","0","53453","55","-0.527"
"2020-04-02","02 Apr 2020","0","32","598","-0.55","-0.51","0","52948","53","-0.534"
"2020-04-03","03 Apr 2020","0","29","542","-0.55","-0.50","0","45912","53","-0.539"
"2020-04-06","06 Apr 2020","0","33","629","-0.55","-0.52","0","59270","50","-0.533"
"2020-04-07","07 Apr 2020","0","32","627","-0.55","-0.51","0","58379","51","-0.533"
"2020-04-08","08 Apr 2020","0","34","621","-0.55","-0.52","0","56559","49","-0.535"
"2020-04-09","09 Apr 2020","0","34","622","-0.55","-0.52","0","55456","52","-0.536"
"2020-04-14","14 Apr 2020","0","33","619","-0.55","-0.52","0","58074","53","-0.534"
"2020-04-15","15 Apr 2020","0","33","605","-0.55","-0.52","0","57086","51","-0.535"
"2020-04-16","16 Apr 2020","0","33","579","-0.55","-0.52","0","55636","55","-0.534"
"2020-04-17","17 Apr 2020","0","32","552","-0.55","-0.52","0","54008","53","-0.538"
"2020-04-20","20 Apr 2020","0","33","561","-0.55","-0.52","0","50826","51","-0.541"
"2020-04-21","21 Apr 2020","0","35","587","-0.55","-0.52","0","49960","50","-0.541"
"2020-04-22","22 Apr 2020","0","30","581","-0.55","-0.52","0","48712","53","-0.539"
"2020-04-23","23 Apr 2020","0","31","571","-0.55","-0.52","0","47408","52","-0.539"
"2020-04-24","24 Apr 2020","0","32","565","-0.55","-0.52","0","47254","50","-0.539"
"2020-04-27","27 Apr 2020","0","31","585","-0.55","-0.52","0","49146","52","-0.539"
"2020-04-28","28 Apr 2020","0","32","572","-0.55","-0.52","0","46757","50","-0.541"
"2020-04-29","29 Apr 2020","0","32","547","-0.55","-0.53","0","46325","52","-0.543"
"2020-04-30","30 Apr 2020","0","27","466","-0.55","-0.50","0","39756","57","-0.531"
"2020-05-04","04 May 2020","0","30","550","-0.55","-0.53","0","48133","49","-0.543"
"2020-05-05","05 May 2020","0","33","562","-0.55","-0.51","0","53443","47","-0.539"
"2020-05-06","06 May 2020","0","32","554","-0.55","-0.52","0","49616","50","-0.542"
"2020-05-07","07 May 2020","0","30","409","-0.55","-0.52","0","32961","56","-0.541"
"2020-05-08","08 May 2020","0","32","461","-0.55","-0.52","0","35476","53","-0.541"
"2020-05-11","11 May 2020","0","31","535","-0.56","-0.53","0","48914","53","-0.544"
"2020-05-12","12 May 2020","0","30","556","-0.56","-0.53","0","47105","52","-0.543"
"2020-05-13","13 May 2020","0","32","547","-0.56","-0.53","0","47498","53","-0.542"
"2020-05-14","14 May 2020","0","31","540","-0.56","-0.52","0","45901","51","-0.541"
"2020-05-15","15 May 2020","0","31","556","-0.56","-0.53","0","44086","53","-0.543"
"2020-05-18","18 May 2020","0","30","563","-0.56","-0.52","0","46151","53","-0.542"
"2020-05-19","19 May 2020","0","29","542","-0.56","-0.52","0","44659","54","-0.542"
"2020-05-20","20 May 2020","0","28","439","-0.56","-0.53","0","32084","55","-0.545"
"2020-05-21","21 May 2020","0","24","384","-0.56","-0.53","0","34454","58","-0.545"
"2020-05-22","22 May 2020","0","27","431","-0.55","-0.52","0","39461","54","-0.539"
"2020-05-25","25 May 2020","0","27","412","-0.55","-0.53","0","41311","53","-0.540"
"2020-05-26","26 May 2020","0","27","471","-0.55","-0.53","0","37891","51","-0.541"
"2020-05-27","27 May 2020","0","28","496","-0.55","-0.53","0","43110","53","-0.541"
"2020-05-28","28 May 2020","0","28","486","-0.55","-0.53","0","41930","53","-0.541"
"2020-05-29","29 May 2020","0","28","377","-0.56","-0.52","0","29159","56","-0.540"
"2020-06-01","01 Jun 2020","0","25","275","-0.56","-0.53","0","30109","58","-0.546"
"2020-06-02","02 Jun 2020","0","29","497","-0.55","-0.53","0","43494","52","-0.542"
"2020-06-03","03 Jun 2020","0","28","500","-0.56","-0.53","0","43142","53","-0.543"
"2020-06-04","04 Jun 2020","0","28","484","-0.56","-0.53","0","42211","53","-0.545"
"2020-06-05","05 Jun 2020","0","27","464","-0.56","-0.53","0","39470","54","-0.544"
"2020-06-08","08 Jun 2020","0","27","441","-0.56","-0.53","0","37691","56","-0.547"
"2020-06-09","09 Jun 2020","0","31","492","-0.56","-0.52","0","45690","51","-0.542"
"2020-06-10","10 Jun 2020","0","29","434","-0.56","-0.53","0","35280","54","-0.548"
"2020-06-11","11 Jun 2020","0","24","406","-0.56","-0.53","0","35940","51","-0.547"
"2020-06-12","12 Jun 2020","0","31","493","-0.56","-0.53","0","43742","52","-0.546"
"2020-06-15","15 Jun 2020","0","30","503","-0.56","-0.53","0","48235","55","-0.547"
"2020-06-16","16 Jun 2020","0","28","458","-0.56","-0.53","0","38279","56","-0.546"
"2020-06-17","17 Jun 2020","0","30","479","-0.56","-0.53","0","40038","54","-0.544"
"2020-06-18","18 Jun 2020","0","29","480","-0.56","-0.53","0","38042","54","-0.544"
"2020-06-19","19 Jun 2020","0","30","474","-0.56","-0.53","0","40936","54","-0.546"
"2020-06-22","22 Jun 2020","0","29","464","-0.56","-0.53","0","41682","53","-0.545"
"2020-06-23","23 Jun 2020","0","28","440","-0.56","-0.52","0","38346","51","-0.544"
"2020-06-24","24 Jun 2020","0","27","447","-0.56","-0.53","0","37257","48","-0.546"
"2020-06-25","25 Jun 2020","0","28","442","-0.56","-0.53","0","32993","49","-0.547"
"2020-06-26","26 Jun 2020","0","28","405","-0.56","-0.53","0","32608","52","-0.547"
"2020-06-29","29 Jun 2020","0","27","436","-0.56","-0.53","0","35798","52","-0.545"
"2020-06-30","30 Jun 2020","0","28","496","-0.60","-0.53","0","42421","48","-0.555"
"2020-07-01","01 Jul 2020","0","30","520","-0.57","-0.53","0","42883","49","-0.548"
"2020-07-02","02 Jul 2020","0","29","522","-0.57","-0.53","0","43047","52","-0.548"
"2020-07-03","03 Jul 2020","0","25","423","-0.57","-0.53","0","36435","59","-0.549"
"2020-07-06","06 Jul 2020","0","31","503","-0.57","-0.54","0","42383","51","-0.550"
"2020-07-07","07 Jul 2020","0","31","510","-0.57","-0.53","0","42574","50","-0.550"
"2020-07-08","08 Jul 2020","0","29","474","-0.56","-0.53","0","40892","55","-0.549"
"2020-07-09","09 Jul 2020","0","30","465","-0.56","-0.53","0","40828","53","-0.549"
"2020-07-10","10 Jul 2020","0","29","519","-0.56","-0.54","0","43774","51","-0.549"
"2020-07-13","13 Jul 2020","0","28","506","-0.57","-0.54","0","44937","53","-0.552"
"2020-07-14","14 Jul 2020","0","28","469","-0.57","-0.54","0","41079","52","-0.551"
"2020-07-15","15 Jul 2020","0","29","475","-0.57","-0.54","0","45658","53","-0.551"
"2020-07-16","16 Jul 2020","0","30","490","-0.56","-0.52","0","52279","56","-0.541"
"2020-07-17","17 Jul 2020","0","30","472","-0.57","-0.54","0","45118","51","-0.551"
"2020-07-20","20 Jul 2020","0","29","511","-0.57","-0.54","0","44329","52","-0.551"
"2020-07-21","21 Jul 2020","0","31","509","-0.56","-0.54","0","51379","50","-0.549"
"2020-07-22","22 Jul 2020","0","31","480","-0.56","-0.54","0","45215","54","-0.550"
"2020-07-23","23 Jul 2020","0","30","465","-0.57","-0.54","0","44557","55","-0.550"
"2020-07-24","24 Jul 2020","0","31","479","-0.57","-0.54","0","45542","53","-0.551"
"2020-07-27","27 Jul 2020","0","29","458","-0.57","-0.54","0","44712","54","-0.552"
"2020-07-28","28 Jul 2020","0","32","474","-0.57","-0.54","0","45801","52","-0.551"
"2020-07-29","29 Jul 2020","0","30","490","-0.57","-0.54","0","48777","53","-0.553"
"2020-07-30","30 Jul 2020","0","30","463","-0.57","-0.54","0","43398","52","-0.552"
"2020-07-31","31 Jul 2020","0","30","446","-0.56","-0.54","0","37164","50","-0.550"
"2020-08-03","03 Aug 2020","0","32","482","-0.57","-0.54","0","43859","52","-0.552"
"2020-08-04","04 Aug 2020","0","31","488","-0.57","-0.54","0","44663","52","-0.551"
"2020-08-05","05 Aug 2020","0","30","487","-0.57","-0.54","0","46956","53","-0.552"
"2020-08-06","06 Aug 2020","0","31","506","-0.57","-0.54","0","47869","54","-0.553"
"2020-08-07","07 Aug 2020","0","30","500","-0.57","-0.54","0","47336","54","-0.553"
"2020-08-10","10 Aug 2020","1","15","206","-0.58","-0.54","0","13472","74","-0.554"
"2020-08-11","11 Aug 2020","0","29","481","-0.57","-0.54","0","43477","54","-0.552"
"2020-08-12","12 Aug 2020","0","29","482","-0.57","-0.54","0","41791","53","-0.552"
"2020-08-13","13 Aug 2020","0","29","470","-0.57","-0.54","0","41257","53","-0.552"
"2020-08-14","14 Aug 2020","0","20","286","-0.56","-0.54","0","28873","69","-0.549"
"2020-08-17","17 Aug 2020","0","30","478","-0.58","-0.54","0","41656","52","-0.553"
"2020-08-18","18 Aug 2020","0","29","475","-0.58","-0.54","0","41888","54","-0.554"
"2020-08-19","19 Aug 2020","0","29","482","-0.58","-0.54","0","41807","56","-0.553"
"2020-08-20","20 Aug 2020","0","30","479","-0.58","-0.54","0","42247","57","-0.553"
"2020-08-21","21 Aug 2020","0","29","484","-0.58","-0.54","0","42886","57","-0.554"
"2020-08-24","24 Aug 2020","0","30","496","-0.58","-0.54","0","43318","54","-0.552"
"2020-08-25","25 Aug 2020","0","29","477","-0.58","-0.54","0","43339","54","-0.553"
"2020-08-26","26 Aug 2020","0","29","465","-0.58","-0.54","0","40407","56","-0.554"
"2020-08-27","27 Aug 2020","0","29","465","-0.58","-0.54","0","39089","54","-0.552"
"2020-08-28","28 Aug 2020","0","28","417","-0.58","-0.54","0","33504","55","-0.552"
"2020-08-31","31 Aug 2020","0","31","439","-0.58","-0.54","0","32370","53","-0.557"
"2020-09-01","01 Sep 2020","0","28","483","-0.58","-0.54","0","40236","56","-0.554"
"2020-09-02","02 Sep 2020","0","28","471","-0.58","-0.54","0","40105","57","-0.555"
"2020-09-03","03 Sep 2020","0","21","359","-0.56","-0.54","0","32988","66","-0.551"
"2020-09-04","04 Sep 2020","0","28","470","-0.58","-0.54","0","39544","57","-0.552"
"2020-09-07","07 Sep 2020","0","28","489","-0.57","-0.54","0","42578","57","-0.551"
"2020-09-08","08 Sep 2020","0","28","485","-0.58","-0.54","0","42008","55","-0.553"
"2020-09-09","09 Sep 2020","0","28","501","-0.58","-0.54","0","41833","54","-0.554"
"2020-09-10","10 Sep 2020","0","29","494","-0.58","-0.54","0","42113","53","-0.554"
"2020-09-11","11 Sep 2020","0","28","465","-0.58","-0.54","0","41575","54","-0.553"
"2020-09-14","14 Sep 2020","0","29","490","-0.58","-0.54","0","45493","54","-0.555"
"2020-09-15","15 Sep 2020","0","31","497","-0.58","-0.53","0","49639","50","-0.551"
"2020-09-16","16 Sep 2020","0","29","496","-0.58","-0.54","0","44937","53","-0.556"
"2020-09-17","17 Sep 2020","0","30","480","-0.58","-0.54","0","43702","51","-0.553"
"2020-09-18","18 Sep 2020","0","30","469","-0.58","-0.54","0","42867","53","-0.552"
"2020-09-21","21 Sep 2020","0","28","463","-0.57","-0.54","0","40540","55","-0.552"
"2020-09-22","22 Sep 2020","0","28","454","-0.58","-0.54","0","40678","55","-0.552"
"2020-09-23","23 Sep 2020","0","28","452","-0.57","-0.54","0","40080","53","-0.551"
"2020-09-24","24 Sep 2020","0","29","448","-0.58","-0.54","0","38570","51","-0.553"
"2020-09-25","25 Sep 2020","0","25","429","-0.58","-0.54","0","35290","55","-0.554"
"2020-09-28","28 Sep 2020","0","28","457","-0.58","-0.54","0","39761","50","-0.555"
"2020-09-29","29 Sep 2020","0","28","466","-0.58","-0.54","0","40004","51","-0.556"
"2020-09-30","30 Sep 2020","0","30","515","-0.60","-0.54","0","42802","49","-0.570"
"2020-10-01","01 Oct 2020","0","28","444","-0.59","-0.54","0","38795","52","-0.558"
"2020-10-02","02 Oct 2020","0","29","466","-0.58","-0.54","0","44717","53","-0.555"
"2020-10-05","05 Oct 2020","0","29","463","-0.58","-0.54","0","45491","54","-0.555"
"2020-10-06","06 Oct 2020","0","31","488","-0.59","-0.54","0","46880","54","-0.556"
"2020-10-07","07 Oct 2020","0","30","479","-0.58","-0.54","0","45038","54","-0.555"
"2020-10-08","08 Oct 2020","0","30","490","-0.58","-0.54","0","43611","53","-0.553"
"2020-10-09","09 Oct 2020","0","30","479","-0.58","-0.54","0","46832","56","-0.553"
"2020-10-12","12 Oct 2020","0","31","508","-0.58","-0.54","0","49495","53","-0.556"
"2020-10-13","13 Oct 2020","0","31","507","-0.58","-0.54","0","48630","55","-0.555"
"2020-10-14","14 Oct 2020","0","30","520","-0.58","-0.54","0","49436","54","-0.556"
"2020-10-15","15 Oct 2020","0","30","515","-0.58","-0.54","0","48277","54","-0.556"
"2020-10-16","16 Oct 2020","0","28","481","-0.58","-0.54","0","45685","56","-0.553"
"2020-10-19","19 Oct 2020","0","31","486","-0.58","-0.54","0","46321","55","-0.553"
"2020-10-20","20 Oct 2020","0","30","484","-0.58","-0.54","0","46346","54","-0.553"
"2020-10-21","21 Oct 2020","0","29","482","-0.57","-0.54","0","44468","54","-0.552"
"2020-10-22","22 Oct 2020","0","29","474","-0.58","-0.54","0","43986","56","-0.554"
"2020-10-23","23 Oct 2020","0","27","447","-0.58","-0.54","0","42148","56","-0.553"
"2020-10-26","26 Oct 2020","0","27","390","-0.56","-0.54","0","38484","60","-0.552"
"2020-10-27","27 Oct 2020","0","29","511","-0.58","-0.54","0","46546","55","-0.554"
"2020-10-28","28 Oct 2020","0","29","482","-0.58","-0.54","0","45957","55","-0.555"
"2020-10-29","29 Oct 2020","0","30","463","-0.57","-0.54","0","44572","55","-0.552"
"2020-10-30","30 Oct 2020","0","31","465","-0.58","-0.54","0","38692","55","-0.557"
"2020-11-02","02 Nov 2020","0","28","531","-0.58","-0.54","0","50126","55","-0.555"
"2020-11-03","03 Nov 2020","0","30","529","-0.57","-0.53","0","51485","51","-0.553"
"2020-11-04","04 Nov 2020","0","30","534","-0.58","-0.54","0","48085","54","-0.558"
"2020-11-05","05 Nov 2020","0","29","484","-0.58","-0.54","0","45919","54","-0.556"
"2020-11-06","06 Nov 2020","0","29","461","-0.58","-0.54","0","45667","55","-0.558"
"2020-11-09","09 Nov 2020","0","28","510","-0.58","-0.54","0","47922","55","-0.558"
"2020-11-10","10 Nov 2020","0","29","488","-0.58","-0.54","0","43935","56","-0.557"
"2020-11-11","11 Nov 2020","0","29","451","-0.58","-0.54","0","43087","56","-0.558"
"2020-11-12","12 Nov 2020","0","28","478","-0.58","-0.52","0","43766","60","-0.548"
"2020-11-13","13 Nov 2020","0","29","469","-0.58","-0.54","0","43586","54","-0.556"
"2020-11-16","16 Nov 2020","0","30","501","-0.58","-0.54","0","45524","55","-0.558"
"2020-11-17","17 Nov 2020","0","30","462","-0.58","-0.54","0","45611","54","-0.557"
"2020-11-18","18 Nov 2020","0","29","466","-0.58","-0.54","0","43786","55","-0.557"
"2020-11-19","19 Nov 2020","0","27","453","-0.58","-0.54","0","40768","58","-0.557"
"2020-11-20","20 Nov 2020","0","29","466","-0.58","-0.54","0","40305","58","-0.557"
"2020-11-23","23 Nov 2020","0","29","475","-0.58","-0.54","0","42228","56","-0.557"
"2020-11-24","24 Nov 2020","0","28","461","-0.58","-0.54","0","41815","58","-0.556"
"2020-11-25","25 Nov 2020","0","30","482","-0.58","-0.53","0","43085","54","-0.554"
"2020-11-26","26 Nov 2020","0","30","478","-0.58","-0.54","0","44917","55","-0.556"
